City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bontang,0.13,117.5,84.56,66,12,7.31,ID,1598242083
Mount Gambier,-37.83,140.77,51.8,66,90,5.82,AU,1598242128
Ushuaia,-54.8,-68.3,32.0,90,40,5.82,AR,1598242120
San Jerónimo,-11.95,-75.28,47.19,62,11,3.71,PE,1598242320
Guangzhou,23.12,113.25,93.0,55,40,4.47,CN,1598242131
Kahului,20.89,-156.47,87.8,52,40,24.16,US,1598242159
Kapaa,22.08,-159.32,84.2,70,40,10.29,US,1598242139
Airai,-8.93,125.41,76.66,36,0,7.74,TL,1598242136
Kiruna,67.86,20.23,46.4,81,39,4.7,SE,1598242320
Mercedes,-34.65,-59.43,54.0,69,0,4.0,AR,1598242320
Lieksa,63.32,30.02,57.87,87,91,10.74,FI,1598242321
Cherskiy,68.75,161.3,39.4,92,100,8.28,RU,1598242135
Zaysan,47.47,84.87,77.56,23,81,4.79,KZ,1598242321
Torbat-e Jām,35.24,60.62,76.12,33,0,11.86,IR,1598242321
Rikitea,-23.12,-134.97,71.49,83,9,18.07,PF,1598242120
Castro,-24.79,-50.01,49.01,87,65,14.79,BR,1598242148
Bredasdorp,-34.53,20.04,55.4,93,100,1.12,ZA,1598242127
Nurlat,54.43,50.81,60.4,86,24,5.1,RU,1598242322
Valparaíso,-33.04,-71.63,54.0,63,100,12.91,CL,1598242322
Norman Wells,65.28,-126.83,68.0,45,20,10.29,CA,1598242126
New Norfolk,-42.78,147.06,50.0,82,94,3.0,AU,1598242322
Bluff,-46.6,168.33,57.0,77,60,8.01,NZ,1598242123
Butaritari,3.07,172.79,82.69,76,99,12.46,KI,1598242120
Mossamedes,-15.2,12.15,63.43,92,97,2.26,AO,1598242167
Miandrivazo,-19.52,45.47,70.14,63,0,2.19,MG,1598242322
Longyearbyen,78.22,15.64,37.63,77,52,4.68,SJ,1598242146
East Wenatchee Bench,47.43,-120.28,77.0,36,1,8.05,US,1598242323
Barrow,71.29,-156.79,46.4,75,1,9.17,US,1598242121
Saint Paul Harbor,57.79,-152.41,59.0,82,90,3.36,US,1598242138
Husavik,66.04,-17.34,37.4,93,100,4.7,IS,1598242323
Hermanus,-34.42,19.23,53.01,90,100,7.0,ZA,1598242131
Dunedin,-45.87,170.5,53.01,86,91,5.23,NZ,1598242147
